name,address,desc,price
Garden Creek Vineyards,"2335 Geysers Road, Geyserville CA 95441","Experience an exclusive, family-owned vineyard and winery with private, by-appointment-only tasting experiences. Enjoy an intimate wine tasting and vineyard tour hosted by the winegrower and maker.",From $75
Calmére Estate Winery,"2750 Las Amigas Rd, Napa CA 94559",Reserve your seated tasting on our expansive garden deck nestled among olive trees overlooking the San Francisco Bay. We are located just 45 minutes from the Golden Gate Bridge.,From $35
B.R. Cohn Winery,"15000 Sonoma Highway, Glen Ellen CA 95442","Wine, olive oil, picturesque wine country estate and a genuine welcome create an experience at B.R. Cohn like no other.",From $25
Williamson Wines,"18 Matheson Street, Healdsburg CA 95448",Taste award-winning single-vineyard wines accompanied with small artisan bites to accent each of the wines. Seated tastings from 11 am through 7 pm every day by appointment. Located in beautiful downtown Healdsburg close to restaurants and easy parking.,From $50
Schermeister Winery,"14301 Arnold Drive Studio 28, Glen Ellen CA 95442",Join winemaker Robert Schermeister and his wife Laura on an intimate journey of wines from the renowned vineyards of Sonoma and Napa. Excite your senses at the complimentary aroma bar or pair our wines with artisan chocolate.,From $25
Benziger Family Winery,"1883 London Ranch Road, Glen Ellen CA 95442","Visit this popular destination and certified Biodynamic ranch for a unique wine experience. Tram tours, tastings offered daily. ""A must visit winery estate."" - Wine Spectator",From $20
Landmark Vineyards,"101 Adobe Canyon Road, Kenwood CA 95452","Taste our signature Landmark Chardonnays and Pinot Noirs with stunning views of Sugarloaf Mountain, expansive gardens, and picnic grounds in the heart of Sonoma Valley.",From $30
WALT Wines,"380 First Street West, Sonoma CA 95476",WALT Wines produces award-winning and distinct Pinot Noir and Chardonnay from vineyards spanning the Pacific coast. Our tasting room is laid back and relaxing with indoor and outdoor seating available. Visit us today!,From $30
Donelan Family Wines,"3352-D Coffey Lane, Santa Rosa CA 95403","Experience a private tasting at our winery in north Santa Rosa. With a strong focus on making quality wines, guests will enjoy wines rated above 90 points.",From $30
Imagery Estate Winery,"14335 Hwy. 12, Glen Ellen CA 95442",Discover rare varietals and single vineyard wines. Relax on the patio or picnic areas or have fun on the bocce court. Definitely a must-taste stop!,From $15
"Landmark Vineyards, Hop Kiln Estate","6050 Westside Rd, Healdsburg CA 95448",Come experience our esteemed Landmark Chardonnays and Pinot Noirs inside our historic tasting room in the heart of the Russian River Valley.,From $30
Moshin Vineyards,"10295 Westside Rd., Healdsburg CA 95448",Highly regarded family-run winery in Russian River Valley - founded in 1989. Enjoy winemaker-tended single vineyard Estate-grown Pinot Noir in a friendly and welcoming environment.,From $20
Notre Vue Estate Winery & Vineyards,"11010 Estate Lane, Windsor CA 95492",Spanning two world-class AVA’s within a 710-acre tapestry of vineyards and wild open spaces. The foundation for our exceptional Notre Vue and Balverne wines. Crafted experiences that create lifetime memories for our guests.,From $15
Buena Vista Winery,"18000 Old Winery Rd, Sonoma CA 95476","Founded in 1857, Buena Vista is California's first premium winery, and its history is as colorful as it is proud. Our future is our past!",From $20
32 Winds Wines,"1010 Dry Creek Rd, Healdsburg CA 95448","Enjoy unparalleled vineyard views under the walnut trees at this upscale winery. It's a great place for gatherings, where you can play bocce ball and have a picnic overlooking Dry Creek.",No price data available
A. Rafanelli Winery,"4685 West Dry Creek Road, Healdsburg CA 95448",Be sure to make reservations at this cozy winery with an amazing family history behind the vineyard. Your no-frills tasting experience will be all about the exceptional wines.,No price data available
Acorn Winery,"12040 Old Redwood Highway, Healdsburg CA 95448","Happiness in the Russian River Valley. An unassuming hidden gem, where you will enjoy one of the most informative tastings that you’ve ever experienced. Wine after wonderful wine makes for a truly charming event.",No price data available
Adobe Road Winery,"6 Petaluma Blvd, Petaluma CA 94952","This tasting room, located in the Petaluma Mill, has an engaging bar, friendly staff and a great selection of hand-crafted Sonoma and Napa County wines, right in Petaluma's vibrant downtown.",No price data available
Adrian Fog Winery,"2064 Gravenstein Hwy N, Sebastopol CA 95472","Your host, veteran winemaker Stewart Damon, will be on hand to lead you through a laid back, educational experience. You'll feel right at home in this intimate setting, as Stewart takes you on the tour, complete with barrel tasting.",No price data available
Albini Family Vineyards,"886 Jensen Lane, Windsor CA 95492","Enjoy fun conversation along with wine history and education as you taste the wines Don Albini. This no-frills winemaker pours his heart into his work, and does everything the old fashioned way.",No price data available
Alexander Valley Vineyards,"8644 Highway 128, Healdsburg CA 95448",Tour one of the oldest vineyards in the valley and explore the caves while tasting wines and getting a little education. Don't forget to say hello to the friendly resident dogs who will greet you as you enter the property.,No price data available
Amista Vineyards,"3320 Dry Creek Road, Healdsburg CA 95448",Discover the premier sparkling wine house in Dry Creek Valley. Sip our handcrafted sparkling and classic wines surrounded by lush vineyards and celebrate the friendly spirit of wine country living!,No price data available
Amphora Wines,"4791 Dry Creek Road (Building 6), Healdsburg CA 95448",This friendly winery takes pleasure in answering all your questions and providing an enjoyable experience. You just may be greeted by the friendly dog at this casual winery.,No price data available
Anaba Wines,"60 Bonneau Rd., Sonoma CA 95476",Enjoy a simple tasting experience at this winery that sources fruit from all around Sonoma County. Have a seat on the outdoor patio to enjoy sweeping views and pleasant service.,No price data available
Annadel Estate Winery,"6687 Sonoma Hwy, Santa Rosa CA 95409","An exquisite location for a wedding, you can also prepare your own bouquet from the estate’s own gigantic rose and hydrangea gardens. The highest caliber wines contain love in every bottle.",No price data available
Annapolis Winery,"26055 Soda Springs Road, Annapolis CA 95412","This family-owned winery on a sunny hilltop offers stunning views of redwood forests. They produce small amounts of handcrafted wine, taking personal care at each step of the process. The end result is lush and intense premium wines.",No price data available
Argot Wines,"5445 Sonoma Mountain Rd, Santa Rosa CA 95404","Passionate about the craft of winemaking, Justin especially recommends the Syrah, Chardonnay and Pinot Noir. The dry Rose is also a customer favorite.",No price data available
Arista Winery,"7015 Westside Road, Healdsburg CA 95448",Explore the beautiful grounds and Japanese garden near the small tasting room as you sip on elegant wines. Bring a picnic lunch so you can enjoy the views at your own leisure.,No price data available
Armagh Vineyards,"1000 Chileno Valley Rd, Petaluma CA 94952","Sustainably farmed, this 11-acre vineyard provides only the most exceptional Chardonnay, Pinot Noir, and Syrah grapes to premium wineries. Pinot Noir and Chardonnay are sold to Flowers Winery, and the Syrah is sold to Wind Gap wines.",No price data available
Armida Winery,"2201 Westside Road, Healdsburg CA 95448","Have a party at this fun, casual wine tasting venue, where you can relish incomparable views on the tasting deck that overlooks a lovely pond.",No price data available
Arnot-Roberts,"33 Healdsburg Ave., Healdsburg CA 95448","The focus of this small winery is on small lot, single vineyard Cabernet Sauvignon, Syrah, Chardonnay, and Pinot Noir, as well as several other varieties uncommon in Northern Californian vineyards.",No price data available
Arrowood Vineyards & Winery,"14347 Sonoma Highway, Glen Ellen CA 95442",Discover the finest Cabernet Sauvignon Sonoma County has to offer while enjoying the sweeping views from our estate.,No price data available
Ashton Vineyard,"12000 Henno Road, Glen Ellen CA 95442","Make a reservation for an exquisite experience exploring several different options of wine and food pairings that include seasonal, locally grown produce.",No price data available
Auteur Wines,"373 1st St W, Sonoma CA 95476",Make an appointment to visit this cozy space and sit around the table for lively conversation and relaxed wine tasting.,No price data available
Azari Vineyards,"1399 Springhill Rd, Petaluma CA 94952","With a bucolic location in the desirable “Petaluma Gap,” this winery is a great spot for a birthday celebration, honeymoon, or just a lovely afternoon of tasting. Your host, Cyrus Azari, will make you feel right at home, and there is a guesthouse on the p",No price data available
B Wise Vineyards,"9077 Sonoma Highway, Kenwood CA 95452","A friendly and accommodating staff will provide a pleasurable experience, whether you’re sampling wines in the tasting room, wandering the expansive grounds, or exploring the caves.",No price data available
Bacigalupi Vineyards,"4353 Westside Rd, Healdsburg CA 95448","There is a rich, authentic family history behind these delectable wines. Chat with the family and enjoy wonderful customer service as you sip and taste in the small tasting room.",No price data available
Bacigalupi Vineyards,"4353 Westside Rd., Healdsburg CA 95448","John Tyler Wines offers Pinot Noir and Zinfandel, which can be tasted at their tasting room in Healdsburg. Make an appointment for a private tour of the Bacigalupi vineyards where the Pinot Noir grapes are grown.",No price data available
Balletto Vineyards & Winery,"5700 Occidental Road, Santa Rosa CA 95401","The Russian River Valley is an ideal location to grow grapes for these award winning wines. Become a member of the wine club to receive regular deliveries of reds, whites, or a mixture of both.",No price data available
Balverne Wines,"10810 Hillview Rd, Windsor CA 95492","Visit this winery by appointment to meet the winemakers, tour the facilities, and get a taste of the extraordinary varities offered.",No price data available
Bannister Wines,"1139 Sunnyside Dr, Healdsburg CA 95448",Join winemaker Marty Bannister as she shares her love of fine food and wine. Hand-harvested grapes ensure the two Chardonnays and the Pinot Noir are always impeccable.,No price data available
Banshee Wines,"325 Center Street, Healdsburg CA 95448",You'll feel right at home in the golden glow of warm woods and leather in this delightful tasting room. Sit at the comfortable communal table to sample the fruits of the incomparable Sonoma Valley in these delectable wines.,No price data available
Barber Cellars,"112 Washington St, Petaluma CA 94952","Located inside the Hotel Petaluma is this classy tasting room with beautiful wood floors and a bar made from repurposed wine barrels. You’ll also find coffee, cheese, and classic video games.",No price data available
Bartholomew Park Winery,"1000 Vineyard Lane, Sonoma CA 95476","Located on a historic, organically farmed estate, the grounds feature plenty of benches for a lovely picnic and easy hiking trails. The dog-friendly grounds and tasting rooms feature knowledgeable, accommodating staff.",No price data available
Battaglini Estate Winery,"2948 Piner Road, Santa Rosa CA 95401","October is stomping time, but you don’t have to wait to try the fantastic wines at this family-owned winery and tasting room. Joe and Lucia Battaglini are on hand to welcome you to this delectable experience.",No price data available
Bella Vineyards,"9711 West Dry Creek Road, Healdsburg CA 95448","This relaxed, rustic property offers a warm welcome. Enter the caves where you can taste wines and learn about the history of the area.",No price data available
Benovia Winery,"3339 Hartman Road, Santa Rosa CA 95401","No shortcuts are taken to produce these bottles of Pinot Noir, Chardonnay and Zinfandel. Sign up for an exclusive behind-the-scenes tour of the winery.",No price data available
Bertapelle Cellars,"1160 Felta Rd, Healdsburg CA 95448","Make an appointment to tour the vineyard with Dick and Pat Bertapelle, owners of the winery. You’ll learn about the grapes and winemaking process and enjoy refreshments.",No price data available
Blanchard Family Wines,"109 W N St, Healdsburg CA 95448","Located in Healdsburg, singles or large groups are welcome to this winery for delectable tastings, where they'll be guided and educated through a sampling excursion and an informative tour of the production facilities.",No price data available
BobDog Winery,"31955 Pine Mountain Road, Cloverdale CA 95425","After a beautiful drive up, meet your down-to-earth hosts at the top of the mountain who will guide you through the wines in the small barrel room. Hike through the grounds and enjoy a beautiful sunset and spectacular views.",No price data available
Boheme Wines,"3625 Main St, Occidental CA 95465","Your visit to this quaint tasting room and wine shop includes samplings of winemaker Kurt Beitler’s Bohème Wines, as well as his brother’s Rancho Bodega label.",No price data available
Bonneau Wines,"23001 Arnold Drive, Sonoma CA 95476",Sit at the quaint little bar counter in the back of this tasting room and chat with the friendly wine guide who will provide a relaxed tasting experience.,No price data available
Bryter Estates,"25 E Napa St, Suite E, Sonoma CA 95476","Visit this friendly tasting room in downtown Sonoma and learn about the husband and wife wine making team, taste wines, and enjoy friendly conversation.",No price data available
Bump Wine Cellars,"521 Broadway, Sonoma CA 95476","This relaxing and welcoming cellar provides a limited tasting selection, kind hosts, and a comfortable atmosphere. Browse the incredible art lining the brick wall as you sip.",No price data available
C Donatiello Winery,"320 Center St, Healdsburg CA 95448","It’s Pinot with a view at this tasting room located on the Plaza in Healdsburg. After a day of roaming the quaint shops, restaurants, and galleries of the Plaza, relax while the knowledgeable staff guides you through the experience of these wines.",No price data available
Calluna Vineyards,"11450 Brooks Road, Windsor CA 95492","Located high above the town of Windsor, this small winery serves incredible 360-degree views and bold, flavorful wines. Call ahead to make an appointment.",No price data available
Carol Shelton Wines,"3354-B Coffey Lane, Santa Rosa CA 95403","Zen and the art of winemaking: multi-award-winning winemaker Carol Shelton is also a poet. Visit the cozy, unassuming tasting room for a marvelous afternoon of sampling.",No price data available
Cartograph Wines,"340 Center St, Healdsburg CA 95448","Get an interesting and informative tasting experience as you chat with the vintners at this quaint winery. Relax in a comfortable lounge chair, taste at the bar, or groups of up to 10 can sit at the private table at the back of the tasting room.",No price data available
Cast Wines,"8500 Dry Creek Rd, Geyserville CA 95441","Enter this modern winery with beautiful grounds and enjoy cheese and crackers while you sample wines. After your tasting, you can sit outside and enjoy the view.",No price data available
Castelli Vineyards,"9760 Green Valley Rd, Sebastopol CA 95472","From Lake Como, Italy to beautiful Sonoma County, owner Emilio Castelli brought his love for wine across the ocean. He celebrates his Italian heritage through his commitment to his land, and the making of wine that is sure to bring joy to your table.",No price data available
Ceja Vineyards,"22989 Burndale Road, Sonoma CA 95476","Ceja Vineyards is a friendly, family-run winery with Latin inspiration. They are dedicated to sustainable agriculture and the gentle handling of their grapes.",No price data available
Chalk Hill Estate Vineyards & Winery,"10300 Chalk Hill Road, Healdsburg CA 95448","Choose your tasting experience indoors or outdoors where you can relax and enjoy stunning views. With options for culinary tastings and horseback rides through the vineyards, you’ll have an unforgettable visit.",No price data available
Chateau Adore Wines,"4080 Old Redwood Hwy, Santa Rosa CA 95403","Those with a sophisticated palate will want to try an exclusive, custom made wine. Experienced professionals provide only the most diligent assistance to discerning customers.",No price data available
Chateau Diana Winery,"6195 Dry Creek Rd, Healdsburg CA 95448",This tasting room has a quaint atmosphere and a deck with a relaxing view. Your comfortable tasting experience is accompanied by personable and knowledgeable staff.,No price data available
Chateau Souverain Winery,"26150 Asti Road, Cloverdale CA 95425",,No price data available
Christopher Creek Winery,"641 Limerick Lane, Healdsburg CA 95448","Thanks to the storytelling skills of the Foppolis, you'll feel like part of the family when you visit Christopher Creek. Relax poolside while you sip on their Deux Barriques Reserve blend and take in the incredible views of rolling hills and vineyards.",No price data available
Clarbec Wines,"19368 Orange Ave, Sonoma CA 95476",Meet the winemakers and tour the facilities at this charming winery. Make an event out of it by choosing the wine and food tour package.,No price data available
Claypool Cellars,"6761 Sebastopol Ave, Sebastopol CA 95472","Fabulous weirdness abounds when you sip wine in the Fancy Booze Caboose, an actual converted train car. The friendly staff will help you select the perfect bottle, and you might get lucky and have it signed by the owner: musician Les Claypool.",No price data available
Cline Cellars,"24737 Arnold Drive, Sonoma CA 95476","Tour the beautifully landscaped property and enjoy your tastings with personalized service. This unique place also has a small museum and gift shop, and hosts weddings on the property.",No price data available
Clos du Bois Winery,"19410 Geyserville Ave, Geyserville CA 95441",Enter the spacious tasting room and you’ll find friendly service and generous pours. Make a day of your visit and bring a picnic lunch and enjoy the pleasant outdoor area with picnic tables and corn hole games.,No price data available
Colagrossi Wines,"7755 Bell Road, Windsor CA 95492",Schedule your visit and plan to stay a while and chat with the friendly and knowledgeable staff as you taste various red wines.,No price data available
Collier Falls,"4791 Dry Creek Road, Healdsburg CA 95448",Visit Family Wineries in Dry Creek to taste all six Collier Falls wines among those from other vintners. This quaint shop also sells gifts and has bocce ball and picnic space outside.,No price data available
Comstock Wines,"1290 Dry Creek Rd, Healdsburg CA 95448","Comstock Wines invites you to experience our state-of-the-art winery, overlooking sweeping views of one of the world’s most sought-after vineyard regions.",No price data available
Copain Wines,"7800 Eastside Road, Healdsburg CA 95446","Copain Wines invites you to our hilltop winery overlooking the bucolic Russian River Valley, affording breathtaking views of the surrounding hills and vineyards.",No price data available
Corner 103,"103 West Napa Street, Sonoma CA 95476","All wine lovers, make Corner 103 a “must visit.” Located on the main square in Sonoma and is open from 11am to 7pm, seven days per week.",No price data available
Cornerstone Sonoma,"23570 Arnold Dr, Sonoma CA 23570","Cornerstone Sonoma is a collection of 25+ gallery-style, ever-changing, walk-through gardens, one of a kind shops, galleries, cafe, and three wineries.",No price data available
Corte Riva Vineyards,"3336 Industrial Drive, Santa Rosa CA 95403",Elegant tasting is on call at this family-owned and operated winery. A local favorite in beautiful Santa Rosa with private tours of wine caves available.,No price data available
Coturri Winery,"6725 Enterprise Road, Glen Ellen CA 95442","Enjoy a classic, “old country” wine tasting experience at this no-frills, quaint winery. Meet the owner and chat about his passion for winemaking as you learn about the wines, made with organically grown grapes and no additives.",No price data available
D & L Carinalli Vineyards,"4905 Gravenstein Hwy S, Sebastopol CA 95472","Though there isn’t a designated tasting room for this winery, they offer various tasting events throughout Sonoma County. Check their website for details.",No price data available
D H Gustafson Family Vineyards,"34 North Street, Healdsburg CA 95448","Located off a winding road and overlooking Lake Sonoma is this quaint tasting room with a beautiful picnic area. As you taste, your host will guide you through the wines, providing an informative and fun experience.",No price data available
D'Argenzio Winery,"1301 Cleveland Ave. Suite A, Santa Rosa CA 95401","Taste wines in the old world, Italian-style tasting room where you can also order pizza and Italian bites from the associated restaurant. The quaint outdoor patio includes a bocce ball court and there is occasional live music.",No price data available
Dashe Cellars,"4791 Dry Creek Road, Healdsburg CA 95448","This urban warehouse produces wine, offers tastings in a spacious area, and has a comfortable patio area to relax. Your informative host will provide a personalized tasting experience.",No price data available
DaVero Farms & Winery,"766 Westside Rd, Healdsburg CA 95448","If you're a foodie as well as a wine connoisseur, DaVero's Italian wines, olive oil, and balsamic vinegar pairings will thrill your taste buds. You can also stroll the grounds and admire their organic vegetable garden, chickens, and pigs.",No price data available
David Coffaro Estate Vineyards,"7485 Dry Creek Road, Geyserville CA 95441","Enter the small, casual, no-frills tasting room and receive a warm welcome. Meet the knowledgeable winemakers as you sample wines that were made with heart and passion.",No price data available
David Noyes Wines,"875 West Napa St, Sonoma CA 95476","With experience in the winemaking business for over 45 years, David Noyes has a passion for the process and focuses on mainly pinot noirs. This winery does not offer a public tasting room.",No price data available
Davis Family Vineyards,"52 Front Street, Healdsburg CA 95448","You'll want to try the award-winning Pinot Noir at this multi-generation family winery. The tasting room is part of the barrel room, so the atmosphere is casual. Step outside to play bocce ball or visit the 12 foot high wine goddess statue.",No price data available
De La Montanya Winery & Vineyards,"999 Foreman Ln, Healdsburg CA 95448","Pack a picnic for your trip, and enjoy lunch in De La Montanya Winery's beautiful garden while you sample their 1812 Vinfandel. A bocce ball court, horseshoes, and apple trees are all part of the outdoor charm, and there is an outdoor kitchen and patio pe",No price data available
Deerfield Ranch Winery,"10200 Sonoma Highway, Kenwood CA 95452",Walk past hundreds of wine barrels on your way to the tasting space inside the wine cave. The accommodating staff will provide friendly service and a wonderful experience.,No price data available
Dehlinger Winery,"4101 Vine Hill Road, Sebastopol CA 95472","If you want an intimate, “off the beaten path” feel to your vineyard visit, you must enjoy one of the two open houses per year that this winery hosts. Dehlinger Winery occupies an exceptional vineyard location that’s been given phenomenal nurturing.",No price data available
deLorimier Winery,"2001 Highway 128, Geyserville CA 95441","Carefully selecting blocks of vineyard, and harvesting, fermenting, barreling and aging separately, deLorimier wines bring to reality a vision of unparalleled complexity and quality.",No price data available
Desmond Estate Vineyards,", Windsor CA 95492","With a passion for pinot noirs, this small winery offers visits and tours of the vineyard by appointment but does not have a public tasting room.",No price data available
Deux Amis Winery,"602 Limerick Lane, Healdsburg CA 95448",This unassuming winery features an excellent zinfandel and offers barrel tastings. Call ahead to make an appointment.,No price data available
Domaine St George Winery & Vineyard,"1141 Grant Ave, Healdsburg CA 95448",Sip on Domaine Saint George and taste the warm sunny days of Sonoma County.,No price data available
"Donum Estate, The","24500 Ramal Rd, Sonoma CA 95476",Outstanding find in Sonoma where tourists can enjoy beautiful grounds. Enjoy a glass of wine while on a guided tour of the vineyard.,No price data available
DRNK Wines,"3637 Frei Rd, Sebastopol CA 95472",Small batch fermentation and punching down by hand is the key to this multi-generation concern. Get in touch with them to set up a delicious sampling encounter and an excursion around the caves.,No price data available
Duchamp Estate Winery,"280 Chiquita Rd, Healdsburg CA 95448","Tastings are offered by appointment only, so be sure to book ahead to sample the rich flavors of their Slaughterhouse and Duchamp Estate syrah wines. Owner Pat Lenz's compelling fiberglass sculptures, including a bust of namesake Marcel Duchamp.",No price data available
DuMol,"1400 American Way, Windsor CA 95492",Wines are made in small quantities and available by allocation to Members. Winery visits are only available to our members by appointment.,No price data available
Dunstan Wines-Durell Vineyards,"1945 Felder Road, Sonoma CA 95476","Located in a restored early 1900s ranch house, and surrounded by the sustainably farmed vineyard, you’ll enjoy an intimate, private tasting experience by appointment only.",No price data available
Dutcher Crossing Winery,"8533 Dry Creek Road, Geyserville CA 95441","Sip and taste reds in the large tasting room surrounded by cathedral windows that open to views of the mountain. The friendly, helpful staff will provide a great experience.",No price data available
Dutton Estate Winery,"8757 Green Valley Road, Sebastopol CA 95472",Stroll through beautiful vineyards that encircle the tasting room before proceeding into the barrel room to have a sample of the wines during each stage of the fermentation process. Perfectly paired food tasting augments this unique experience.,No price data available
Dutton-Goldfield Winery,"3100 Gravenstein Hwy, North, Sebastopol CA 95472","An exceptional wine tasting experience in the captivating Russian River Valley, this lovely home-like property offers a marvelous patio for having a picnic to accompany your tasting adventure.",No price data available
D’Argenzio Winery,"1301 Cleveland Ave, Santa Rosa CA 95401","Exceptional wine tasting experience in addition to bocce ball, darts, and pizza! Fun, hip adventure with an authentic Italian flair.",No price data available
Ehret Family Winery,"21023 Geyserville Avenue, Geyserville CA 95441","This family-owned winery maintains a sustainable vineyard and produces small lots of Cabernet Sauvignon, Cab Franc, Merlot, Syrah, Sauvignon Blanc and a signature red blend. Taste the varietals at Locals Tasting Room in Geyserville as there is no tasting",No price data available
Emeritus Vineyards,"2500 Gravenstein Hwy N, Sebastopol CA 95472",Private tastings and tours make for an intimate experience in gorgeous Sebastopol. The Pinot Noir is a must try.,No price data available
Emtu Estate Wines,"6111 Van Keppel Rd, Forestville CA 95436","Winemakers John and Chris Mason are extraordinary humanitarians, using all profits from Emtu Estate Wines to help better the world. During the dormant winter months they travel to countries in need of help and volunteer their time and talents.",No price data available
Hartford Family Winery,"8075 Martinelli Road, Forestville CA 95436","Named one of the top ten wineries in 2010. Hand crafted, award-winning wines -93 pt Pinot Noir, old-vine Zinfandel and Chardonnay. Tour us today!",No price data available
Hart’s Desire Wines,"53 Front St., Healdsburg CA 95448","Shared with two other wineries, this tasting room provides a beautiful atmosphere with high ceilings and displayed artwork. Enjoy learning and hearing stories from the knowledgeable staff.",No price data available
Harvest Moon Estate & Winery,"2192 Olivet Rd, Santa Rosa CA 95401",The friendly staff at this family winery enjoy sharing their knowledge and stories about the wine and winemaking process while you taste the beautifully crafted wines.,No price data available
Hauck Cellars,"999 Foreman Ln, Healdsburg CA 95448",The husband and wife team of this small winery settled in Sonoma to create Bordeaux-style house wines. Visit their tasting room and meet the winemakers.,No price data available
Hawkes Wine,"6738 Highway 128, Healdsburg CA 95448",Look for the resident winery dog as you drive into the parking lot at this family-owned place. Chat with the friendly staff and maybe catch the occasional live music through the open windows as you taste.,No price data available
Hawkes Winery - Sonoma,"383 1st Street West, Sonoma CA 95476","Just a short stroll from the Sonoma square, Hawkes is a casual, quaint wine tasting room.",No price data available
Hawley Tasting Room & Gallery,"36 North Street, Healdsburg CA 95448","With a relaxed environment and friendly staff, the Hawley tasting room is located right on the Square. Browse local artwork on the walls of this small room while you taste.",No price data available
Hawley Wine,"6387 West Dry Creek Road, Healdsburg CA 95448","This small, family winery crafts nine different wines in small lots to capture the character of the grapes. Though the tasting room is located downtown Healdsburg, you can make an appointment to tour and taste at the winery.",No price data available
Highway 12 Winery & Vineyards,"498 First Street East, Sonoma CA 95476","The tasting room, located right in Sonoma square, is casual and welcoming. Shop for gifts and taste the wines with generous pours while you chat with the friendly staff.",No price data available
Hirsch Winery & Vineyards,"45075 Bohan Dillon Rd, Cazadero CA 95421",David Hirsch farms 68 acres of Pinot Noir and 4 acres of Chardonnay on the Sonoma Coast. Visitors can request a tasting appointment in downtown Healdsburg or a tour of the vineyard located off the beaten path.,No price data available
Hobo Wine Company,"132 Plaza Street, Healdsburg CA 95448","This small production, one-man winery focuses on precision, using high-quality grapes and slow fermentations. Make an appointment to visit and taste.",No price data available
Holdredge Wines,"51 Front Street, Healdsburg CA 95448","Fall in love with Pinot Noirs at this winery located just off the Square. The no-frills, spacious tasting room offers a peek into the production area and friendly staff.",No price data available
Homewood Winery,"23120 Burndale Rd., Sonoma CA 95476","This quaint winery offers quality, flavorful wines at affordable prices. Enjoy a personalized, intimate tasting experience in the small tasting room.",No price data available
Hook and Ladder Winery,"2134 Olivet Road, Santa Rosa CA 95401","From the warm, friendly welcome to the bocce ball court outside, you’ll find a great atmosphere at this winery that supports local firefighters. There is a wide variety of wines for every palette.",No price data available
Horse & Plow,"1270 Gravenstein Hwy N, Sebastopol CA 95472","Visit this winery for a tour or tasting and explore their handcrafted wines made with organic, sustainably farmed grapes. Open 11 am - 5 pm Thursday through Monday each week, no app necessary.",No price data available
